name,type,muscle,difficulty,instructions,equipments,safety_info
Close-grip bench press,strength,chest,intermediate,"Lie back on a flat bench. Using a close grip (around shoulder width), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position. As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that - as opposed to a regular bench press - you keep the elbows close to the torso at all times in order to maximize triceps involvement. After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the bar back in the rack.  Caution: If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used. Also, beware of letting the bar drift too far forward. You want the bar to fall on your middle chest and nowhere else. Variations: This exercise can also be performed with an e-z bar using the inner handle as well as dumbbells, in which case the palms of the hands will be facing each other.","['barbell', 'flat bench', 'rack']","Use a spotter if you’re new; if none is available, use conservative weight. Keep elbows close to your torso, lower the bar under control to the mid-chest, and avoid letting it drift forward. Re-rack the bar securely."
Dumbbell Flyes,strength,chest,intermediate,"Lie down on a flat bench with a dumbbell on each hand resting on top of your thighs. The palms of your hand will be facing each other. Then using your thighs to help raise the dumbbells, lift the dumbbells one at a time so you can hold them in front of you at shoulder width with the palms of your hands facing each other. Raise the dumbbells up like you're pressing them, but stop and hold just before you lock out. This will be your starting position. With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint. Return your arms back to the starting position as you squeeze your chest muscles and breathe out. Tip: Make sure to use the same arc of motion used to lower the weights. Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.  Variations: You may want to use a palms facing forward version for different stimulation.","['dumbbells', 'flat bench']","Keep a slight bend in your elbows to protect the biceps tendon; avoid locking out and keep the arms fixed so movement occurs only at the shoulder. Lower in a slow, wide arc only until you feel a chest stretch (don’t overstretch), then return along the same path with control and steady breathing."
Low-cable cross-over,strength,chest,intermediate,"To move into the starting position, place the pulleys at the low position, select the resistance to be used and grasp a handle in each hand. Step forward, gaining tension in the pulleys. Your palms should be facing forward, hands below the waist, and your arms straight. This will be your starting position. With a slight bend in your arms, draw your hands upward and toward the midline of your body. Your hands should come together in front of your chest, palms facing up. Return your arms back to the starting position after a brief pause.","['cable machine', 'single-grip handles']","Set pulleys low and step forward carefully to create tension. Keep a slight bend in the elbows, control the motion without letting the stack slam, and avoid excessive weight to reduce shoulder strain."
Incline dumbbell bench press,strength,chest,intermediate,"Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other. Then, using your thighs to help push the dumbbells up, lift the dumbbells one at a time so that you can hold them at shoulder width. Once you have the dumbbells raised to shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position. Be sure to keep full control of the dumbbells at all times. Then breathe out and push the dumbbells up with your chest. Lock your arms at the top, hold for a second, and then start slowly lowering the weight. Tip Ideally, lowering the weights should take about twice as long as raising them. Repeat the movement for the prescribed amount of repetitions. When you are done, place the dumbbells back on your thighs and then on the floor. This is the safest manner to release the dumbbells.  Variations: You can use several angles on the incline bench if the bench you are using is adjustable. Another variation of this exercise is to perform it with the palms of the hands facing each other. Also, you can perform the exercise with the palms facing each other and then twisting the wrist as you lift the dumbbells so that at the top of the movement the palms are facing away from the body. I personally do not use this variation very often as it seems to be hard on my shoulders.","['dumbbells', 'incline bench']","Keep full control of the dumbbells, use a slow and controlled tempo (lower twice as long as you lift), and when finished place the dumbbells onto your thighs before the floor to release safely. Avoid twisting variations if they cause shoulder discomfort."
Pushups,strength,chest,intermediate,"Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length. Next, lower yourself downward until your chest almost touches the floor as you inhale. Now breathe out and press your upper body back up to the starting position while squeezing your chest. After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.  Variations: If you are new at this exercise and do not have the strength to perform it, you can either bend your legs at the knees to take off resistance or perform the exercise against the wall instead of the floor. For the most advanced lifters, you can place your feet at a high surface such as a bench in order to increase the resistance and to target the upper chest more.",[],"Lower under control until the chest almost touches the floor; inhale on the way down and exhale on the way up. If you can’t perform a full push-up, use the knee or wall variation. For advanced variations with feet elevated, place them on a secure, stable surface (e.g., a bench)."
Barbell Bench Press - Medium Grip,strength,chest,intermediate,"Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position. From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest. After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it. Repeat the movement for the prescribed amount of repetitions. When you are done, place the bar back in the rack.  Caution: If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used. Also, beware of letting the bar drift too far forward. You want the bar to touch your middle chest and nowhere else. Don't bounce the weight off your chest. You should be in full control of the barbell at all times.","['barbell', 'flat bench', 'bench press rack', 'weight plates']","Use a spotter if you’re new; if lifting alone, use conservative weights. Keep the bar path over your middle chest—don’t let it drift forward. Do not bounce the bar off your chest; lower under control (slower than the press) and maintain full control when unracking and racking the bar."
Chest dip,strength,chest,intermediate,"For this exercise you will need access to parallel bars. To get yourself into the starting position, hold your body at arms length (arms locked) above the bars. While breathing in, lower yourself slowly with your torso leaning forward around 30 degrees or so and your elbows flared out slightly until you feel a slight stretch in the chest. Once you feel the stretch, use your chest to bring your body back to the starting position as you breathe out. Tip: Remember to squeeze the chest at the top of the movement for a second. Repeat the movement for the prescribed amount of repetitions.  Variations: If you are new at this exercise and do not have the strength to perform it, use a dip assist machine if available. These machines use weight to help you push your bodyweight. Otherwise, a spotter holding your legs can help. More advanced lifters can add weight to the exercise by using a weight belt that allows the addition of weighted plates.","['parallel bars', 'dip assist machine', 'weight belt', 'weight plates']","Lower yourself slowly with torso ~30° forward and only until a slight chest stretch; keep control and breathe (inhale down, exhale up). Use an assist machine or a spotter if you lack strength. Add weight only if you are experienced."
Wide-Grip Decline Barbell Bench Press,strength,chest,beginner,"Lie back on a decline bench with the feet securely locked at the front of the bench. Using a wide, pronated (palms forward) grip that is around 3 inches away from shoulder width (for each hand), lift the bar from the rack and hold it straight over you with your arms locked. The bar will be perpendicular to the torso and the floor. This will be your starting position. As you breathe in, come down slowly until you feel the bar on your lower chest. After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions.  Caution:  If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used. Also, beware of letting the bar drift too far forward. You want the bar to fall on your middle chest and nowhere else. Don't bounce the weight off your chest. You should be in full control of the barbell at all times.  Variations: You can use dumbbells for this exercise as well as exercise bands. Same as the Decline Barbell Bench Press but with a wider grip.","['barbell', 'decline bench', 'barbell rack']","Secure your feet on the decline bench and use a spotter if you’re new; if no spotter, use conservative weight. Lower the bar under control (slow eccentric), don’t bounce it off your chest, and keep the bar path over your lower–middle chest—do not let it drift forward. Maintain full control and lock out safely."
Cable Crossover,strength,chest,intermediate,"To get yourself into the starting position, place the pulleys on a high position (above your head), select the resistance to be used and hold the pulleys in each hand. Step forward in front of an imaginary straight line between both pulleys while pulling your arms together in front of you. Your torso should have a small forward bend from the waist. This will be your starting position. With a slight bend on your elbows in order to prevent stress at the biceps tendon, extend your arms to the side (straight out at both sides) in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms and torso should remain stationary; the movement should only occur at the shoulder joint. Return your arms back to the starting position as you breathe out. Make sure to use the same arc of motion used to lower the weights. Hold for a second at the starting position and repeat the movement for the prescribed amount of repetitions.  Variations: You can vary the point in front of you where your arms meet.","['cable crossover machine', 'pair of single-grip cable handles']","Set pulleys above head and use a controlled arc. Keep a slight bend in the elbows to reduce biceps tendon stress. Keep torso still with movement only at the shoulders, avoid excessive stretch, and use a manageable weight."
Rickshaw Carry,strongman,forearms,beginner,"Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight. Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.","['rickshaw carry frame', 'weight plates']","Keep your chest up and head forward with a straight back, drive through your heels to lift, walk with quick, controlled steps while breathing continuously, and lower the frame to the ground under control at the end."
Palms-down wrist curl over bench,strength,forearms,intermediate,Start out by placing a barbell on one side of a flat bench. Kneel down on both of your knees so that your body is facing the flat bench. Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. Start out by curling your wrist upwards and exhaling. Slowly lower your wrists back down to the starting position while inhaling. Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. Repeat for the recommended amount of repetitions.  Variations:  This exercise can also be performed sitting down by using your thighs as a resting position for your forearms. Your wrist can hang over your knees and the same movements as mentioned above can be performed. You can also use a dumbbell instead of a barbell.,"['barbell', 'flat bench']",Keep forearms supported on the flat bench with wrists hanging over the edge; use a pronated grip and move only at the wrist. Raise and lower the weight slowly under control—avoid using momentum.
Straight-bar wrist roll-up,strength,forearms,intermediate,"Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width. This will be your starting position. Alternating between each of your hands, perform the movement by extending the wrist as though you were rolling up a newspaper. Continue alternating back and forth until failure. Reverse the motion by flexing the wrist, rolling the opposite direction. Continue the alternating motion until failure.",['barbell'],"Use a light barbell and perform slow, controlled wrist extension/flexion. Avoid excessive range, keep a secure grip, and stop if you feel wrist pain or lose control—fatigue at failure can cause the bar to drop."
Palms-up wrist curl over bench,strength,forearms,intermediate,Start out by placing a barbell on one side of a flat bench. Kneel down on both of your knees so that your body is facing the flat bench. Use your arms to grab the barbell with a supinated grip (palms up) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge. Start out by curling your wrist upwards and exhaling. Slowly lower your wrists back down to the starting position while inhaling. Your forearms should be stationary as your wrist is the only movement needed to perform this exercise. Repeat for the recommended amount of repetitions.  Variations:  This exercise can also be performed sitting down by using your thighs as a resting position for your forearms. Your wrist can hang over your knees and the same movements as mentioned above can be performed. You can also use a dumbbell instead of a barbell.,"['barbell', 'flat bench']","Keep forearms supported on the bench and move only at the wrists. Use a controlled tempo, especially on the lowering phase. Avoid excessive weight and hyperextending the wrists; ensure the bench is stable and the barbell is secure. Stop if you feel wrist pain."
Standing behind-the-back wrist curl,strength,forearms,beginner,"Start by standing straight and holding a barbell behind your glutes at arm's length while using a pronated grip (palms will be facing back away from the glutes) and having your hands shoulder width apart from each other. You should be looking straight forward while your feet are shoulder width apart from each other. This is the starting position. While exhaling, slowly elevate the barbell up by curling your wrist in a semi-circular motion towards the ceiling. Note: Your wrist should be the only body part moving for this exercise. Hold the contraction for a second and lower the barbell back down to the starting position while inhaling. Repeat for the recommended amount of repetitions. When finished, lower the barbell down to the squat rack or the floor by bending the knees. Tip: It is easiest to either pick it up from a squat rack or have a partner hand it to you.  Variations: You can also perform this exercise with dumbbells using the same movements as described above. Another option is to use one dumbbell at a time for better isolation.",['barbell'],"Move only your wrists and keep the rest of your body still; lift and lower the barbell slowly (exhale up, inhale down). Use a secure shoulder‑width pronated grip and avoid jerking. When finishing, bend your knees to set the bar on a rack or the floor, and use a rack or partner for handoff if needed."
Wrist Roller,strength,forearms,beginner,"To begin, stand straight up grabbing a wrist roller using a pronated grip (palms facing down). Your feet should be shoulder width apart. Slowly lift both arms until they are fully extended and parallel to the floor in front of you. Note: Make sure the rope is not wrapped around the roller. Your entire body should be stationary except for the forearms. This is the starting position. Rotate one wrist at a time in an upward motion to bring the weight up to the bar by rolling the rope around the roller. Once the weight has reached the bar, slowly begin to lower the weight back down by rotating the wrist in a downward motion until the weight reaches the starting position. Repeat for the prescribed amount of repetitions in your program.","['wrist roller', 'weight plate']","Ensure the rope is not pre‑wrapped around the roller before starting. Keep your body stationary with arms extended parallel to the floor and use slow, controlled wrist rotations to raise and lower the weight—avoid using momentum."
Seated finger curl,strength,forearms,beginner,"Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width. Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. This will be your starting position. Lower the bar as far as possible by extending the fingers. Allowing the bar to roll down the hands, catch the bar with the final joint in the fingers. Now curl bar up as high as possible by closing your hands while exhaling. Hold the contraction at the top.","['barbell', 'bench']","Sit securely with feet flat and hands shoulder‑width, palms up. Control the bar as it rolls to your fingertips—do not let it slip or drop. Use a manageable weight and smooth reps, avoiding jerking or overextending the fingers."
Dumbbell farmer's walk,strongman,forearms,intermediate,"There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements. After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up. Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible.","['dumbbells', ""farmer's walk implements"", 'short bars']","Keep your back straight and head up; lift by driving through your heels, take short, quick steps, and remember to breathe throughout the walk."
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,forearms,beginner,"Put a bench in front of a low pulley machine that has a barbell or EZ Curl attachment on it. Move the bench far enough away so that when you bring the handle to the top of your thighs tension is created on the cable due to the weight stack being moved up. Now hold the handle with both hands, palms up, using a shoulder-width grip. Step back and sit on the bench with your feet about shoulder width apart, firmly on the floor. Lean forward and place the forearms on your thighs with the back of your wrists over your knees. This will be your starting position. Lower the bar as far as possible, while inhaling and keeping a tight grip. Now curl the bar up as high as possible while contracting the forearms. Tip: Only the wrist should move; not the forearms. After a second contraction at the top go back to the starting position as you inhale. Repeat for the recommended amount of repetitions.  Variations: This exercise can be performed also with a single handle attachment (one arm at a time) or with free weights (barbells or dumbbells) using one arm and two arm variations.","['bench', 'low pulley cable machine', 'straight bar cable attachment', 'ez-curl cable attachment']",Sit stable on the bench with feet firmly on the floor and forearms supported on your thighs. Keep a tight grip and move only at the wrists—do not swing the forearms. Control the weight throughout the range and stop if you feel wrist pain or loss of grip.
Seated One-Arm Dumbbell Palms-Up Wrist Curl,strength,forearms,beginner,"Sit on a flat bench with a dumbbell in your right hand. Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. Lean forward and place your right forearm on top of your upper right thigh with your palm up. Tip: Make sure that the front of the wrist lies on top of your knees. This will be your starting position. Lower the dumbbell as far as possible as you keep a tight grip on the dumbbell. Inhale as you perform this movement. Now curl the dumbbell as high as possible as you contract the forearms and as you exhale. Keep the contraction for a second before you lower again. Tip: The only movement should happen at the wrist. Perform for the recommended amount of repetitions, switch arms and repeat the movement.  Variations: You can also do this movement with two arms at a time, one on each knee, or using a barbell.","['dumbbell', 'flat bench']","Keep your forearm supported on your thigh with the wrist resting on the knee; move only at the wrist and keep a tight grip. Control the weight—avoid swinging—use a comfortable range of motion, and coordinate breathing (inhale on the lower, exhale on the curl)."
Barbell glute bridge,powerlifting,glutes,intermediate,"Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor. Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet. Extend as far as possible, then reverse the motion to return to the starting position.","['barbell', 'weight plates', 'bar pad']","Position the bar directly over your hips and support the load with your upper back and heels (not your neck). Use a fat bar or bar pad to reduce hip discomfort. Drive through the heels, extend the hips vertically, and control the return to avoid losing position."
Barbell Hip Thrust,powerlifting,glutes,intermediate,"Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lean back against the bench so that your shoulder blades are near the top of it. Begin the movement by driving through your feet, extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible, then reverse the motion to return to the starting position.","['barbell', 'bench', 'bar pad', 'weight plates']","Position your shoulder blades near the top of the bench and keep your weight supported by your shoulder blades and feet. Drive through your feet, control the lift and return, and use a bar pad or fat bar to reduce hip discomfort."
Single-leg cable hip extension,strength,glutes,intermediate,"Hook a leather ankle cuff to a low cable pulley and then attach the cuff to your ankle. Face the weight stack from a distance of about two feet, grasping the steel frame for support. While keeping your knees and hips bent slightly and your abs tight, contract your glutes to slowly ""kick"" the working leg back in a semicircular arc as high as it will comfortably go as you breathe out. Tip: At full extension, squeeze your glutes for a second in order to achieve a peak contraction. Now slowly bring your working leg forward, resisting the pull of the cable until you reach the starting position. Repeat for the recommended amount of repetitions. Switch legs and repeat the movement for the other side.  Variations: You can perform this exercise with exercise bands.","['cable machine', 'ankle cuff']",Secure the ankle cuff and hold the machine’s frame for support. Keep your core braced with a slight bend in hips and knees; extend the leg only as far as is comfortable without arching your lower back. Control the movement and resist the return—don’t let the cable yank you forward.
Glute bridge,strength,glutes,intermediate,"Lie flat on the floor on your back with the hands by your side and your knees bent. Your feet should be placed around shoulder width. This will be your starting position. Pushing mainly with your heels, lift your hips off the floor while keeping your back straight. Breathe out as you perform this part of the motion and hold at the top for a second. Slowly go back to the starting position as you breathe in.  Variations: You can perform this exercise one leg at a time.",[],Keep your back neutral and core engaged; drive through your heels without arching the lower back. Control each rep—lift and lower slowly—and avoid hyperextending the hips. Stop if you feel pain in the lower back or knees. Attempt the single‑leg variation only if you can keep hips level.
Seated Glute Stretch,stretching,glutes,beginner,Begin seated on the ground with both legs extended. Bring your right knee up and over your left leg so that your right foot is on the ground. Keep the left leg extended. Hold your right knee with both hands and pull it into your chest. Hold the stretch for 30 seconds. Repeat with the opposite leg.,[],"Pull the knee in gently to a mild, pain‑free stretch; keep your back upright and avoid twisting or bouncing. Breathe steadily, and stop if you feel sharp pain in the hip, knee, or lower back."
Glute Bridge Hamstring Walkout,strength,glutes,intermediate,"Begin in a supine position on the floor. Bend both knees, placing your feet flat on the ground with your feet close to your glutes. This will be your starting position. Initiate the exercise by extending the hips, driving your hips from the floor to perform a glute bridge. At the top of the motion, begin taking short, alternating steps. Continue until your legs are fully extended and your weight is supported on your heels. Hold the walkout position briefly, and then alternate steps back in to return to the bridge position. Repeat for the desired number of repetitions.",['exercise mat'],"Perform on a flat, non‑slip surface. Brace your core and keep a neutral spine—avoid hyperextending the lower back. Keep hips lifted and weight through the heels during the walkout; take short, controlled steps. Avoid knee collapse and stop if you feel hamstring cramping or any low‑back discomfort."
Suspended Hip Thrust,strength,glutes,beginner,"Lie on your back in front of suspension straps adjusted to 18 to 24 inches off of the ground. Place your feet in the straps, keeping your knees bent. This will be your starting position. To perform the movement, raise your hips off the floor to full extension, pushing down through your feet. Pause at the top of the motion before returning to the starting position.",['suspension straps'],"Ensure the suspension straps are securely anchored and adjusted to about 18–24 inches off the ground. Place feet securely in the loops and move in a slow, controlled manner. Keep core engaged to avoid hyperextending the lower back, maintain knees bent, and push through your heels. Stop if you feel pain or instability."
Neck Bridge Supine,strength,glutes,beginner,"Begin in a supine position on the floor. Bend both knees, placing your feet flat on the ground. This will be your starting position. Initiate the exercise by extending the hips, driving your hips from the floor to perform a glute bridge. As your back comes off of the ground, transition to supporting your weight on your head. Perform this movement slowly, backing off if any serious discomfort is felt. Hold the neck bridge for a period of time, and then carefully return your hips to the floor.",['exercise mat'],"Move slowly and with control, especially as you transition to supporting weight on your head. Stop if you feel serious discomfort or pain, and carefully lower your hips back to the floor."
Walking High Knee,strength,glutes,intermediate,,[],"Intermediate bodyweight move—use controlled steps with core engaged and torso upright; avoid jerky motions, excessive lower-back arch, or yanking the knee upward. Use support if balance is an issue and stop if you feel knee or hip pain."
Barbell Deadlift,strength,hamstrings,intermediate,"Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. Lower the bar by bending at the hips and guiding it to the floor.",['barbell'],"Brace with a big breath before lifting, keep your chest up and back arched/neutral, drive through your heels with the bar close to your shins, and lower by hinging at the hips. Avoid rounding your back or jerking the weight; control the descent."
Clean Deadlift,olympic_weightlifting,hamstrings,beginner,"Begin standing with a barbell close to your shins. Your feet should be directly under your hips with your feet turned out slightly. Grip the bar with a double overhand grip or hook grip, about shoulder width apart. Squat down to the bar. Your spine should be in full extension, with a back angle that places your shoulders in front of the bar and your back as vertical as possible. Begin by driving through the floor through the front of your heels. As the bar travels upward, maintain a constant back angle. Flare your knees out to the side to help keep them out of the bar's path. After the bar crosses the knees, complete the lift by driving the hips into the bar until your hips and knees are extended.",['barbell'],Keep your spine in full extension (neutral) with shoulders in front of the bar; maintain a constant back angle until the bar passes the knees. Keep the bar close and flare knees out to keep them out of the bar path. Drive through the heels and finish with full hip and knee extension; avoid rounding the back or jerking the weight.
Sumo deadlift,powerlifting,hamstrings,beginner,"Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip. Relax the shoulders, which in effect lengthens your arms. Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees. As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together. Return the weight to the ground by bending at the hips and controlling the weight on the way down.","['barbell', 'weight plates']","Keep chest up and a neutral spine, lower hips before pulling and keep arms inside the legs with a secure grip. Drive through the floor with weight on the back half of your feet, keep the bar close, and extend through hips and knees. Control the descent; avoid jerking the bar or rounding your back."
Romanian Deadlift from Deficit,olympic_weightlifting,hamstrings,beginner,"Begin standing while holding a bar at armâ€™s length in front of you. You can stand on a raised platform to increase the range of motion. Begin by flexing the knees slightly, and then flex at the hip, moving your butt back as far as possible, lowering the torso as far as flexibility allows. The back should remain in absolute extension at all times, and the bar should remain in contact with the legs. If done properly, there should be heavy tension felt in the hamstrings. Reverse the motion to return to the starting position.","['barbell', 'raised platform']",Maintain a neutral/extended back and hinge at the hips with only a slight knee bend; keep the bar in contact with your legs and lower only as far as flexibility allows. Use the raised platform only if you can keep form; avoid rounding the back.
Power Snatch,olympic_weightlifting,hamstrings,beginner,"Begin with a loaded barbell on the floor. The bar should be close to or touching the shins, and a wide grip should be taken on the bar. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar. This will be the starting position. Begin the first pull by driving through the front of the heels, raising the bar from the ground. The back angle should stay the same until the bar passes the knees. Transition into the second pull by extending through the hips knees and ankles, driving the bar up as quickly as possible. The bar should be close to the body. At peak extension, shrug the shoulders and allow the elbows to flex to the side. As you move your feet into the receiving position, a slightly wider position, pull yourself below the bar as you elevate the bar overhead. The bar should be received in a partial squat. Continue raising the bar to the overhead position, receiving the bar locked out overhead. Return to a standing position with the weight over head.","['barbell', 'weight plates']","Keep chest up with a neutral back; shoulders slightly in front of the bar and bar close to the body. Maintain back angle until the bar passes the knees, then extend through hips/knees/ankles. Receive in a partial squat with arms locked out overhead before standing. As a beginner, start with light loads and focus on controlled, correct form."
Power Clean from Blocks,olympic_weightlifting,hamstrings,beginner,"With a barbell on boxes of the desired height, take a grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position. Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight. At the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended. As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, pull yourself under the bar far enough that it can be racked onto the shoulders, rotating your elbows under the bar as you do so. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position, and complete the repetition by returning the weight to the boxes.","['barbell', 'blocks']","Set up with back straight, chest up, weight through the heels and shoulders slightly in front of the bar; keep arms straight until the third pull (don’t arm‑pull), fully extend hips/knees/ankles before pulling under, rack on the shoulders with elbows up, recover upright, and return the bar to the blocks under control. As a beginner, use light loads and prioritize technique."
Natural Glute Ham Raise,strength,hamstrings,beginner,"Using the leg pad of a lat pulldown machine or a preacher bench, position yourself so that your ankles are under the pads, knees on the seat, and you are facing away from the machine. You should be upright and maintaining good posture. This will be your starting position. Lower yourself under control until your knees are almost completely straight. Remaining in control, raise yourself back up to the starting position. If you are unable to complete a rep, use a band, a partner, or push off of a box to aid in completing a repetition.","['lat pulldown machine', 'preacher bench', 'resistance band', 'box']","Secure your ankles under the pads and maintain upright posture. Lower and raise under control, stopping before your knees fully lock. If you can’t complete a rep, use assistance (band, partner, or box) rather than collapsing."
Glute ham raise-,strength,hamstrings,beginner,"You can use a partner for this exercise or brace your feet under something stable. Begin on your knees with your upper legs and torso upright. If using a partner, they will firmly hold your feet to keep you in position. This will be your starting position. Lower yourself by extending at the knee, taking care to NOT flex the hips as you go forward. Place your hands in front of you as you reach the floor. This movement is very difficult and you may be unable to do it unaided. Use your arms to lightly push off the floor to aid your return to the starting position.","['partner', 'stable object']",Secure your feet with a partner or under a stable object. Keep hips from flexing and control the descent; place hands in front to protect yourself as you approach the floor. Use the arms only lightly to assist on the return. This is a very difficult movement—scale or get assistance if you cannot perform it safely.
Romanian Deadlift With Dumbbells,strength,hamstrings,beginner,"Begin in a standing position with a dumbbell in each hand. Ensure that your back is straight and stays that way for the duration of the exercise. Allow your arms to hang perpendicular to the floor, with the wrists pronated and the elbows pointed to your sides. This will be your starting position. Initiate the movement by flexing your hips, slowly pushing your butt as far back as you can. This should entail a horizontal movement of the hips, rather than a downward movement. The knees should only partially bend, and your weight should remain on your heels. Drive your butt back as far as you can, which should generate tension in your hamstrings as your hands approach knee level. Maintain an arch in your back throughout the exercise. When your hips cannot perform any further backward movement, pause, and then slowly return to the starting position by extending the hips.",['dumbbells'],"Keep your back straight (do not round) and hinge at the hips, not the knees; maintain only a slight knee bend and keep your weight on your heels. Lower with control only until you feel hamstring tension and your hips can’t move further back, then return without jerking. Avoid turning it into a squat or letting the dumbbells pull your shoulders forward."
Snatch Deadlift,olympic_weightlifting,hamstrings,beginner,"The snatch deadlift strengthens the first pull of the snatch. Begin with a wide snatch grip with the barbell placed on the platform. The feet should be directly under the hips, with the feet turned out. Squat down to the bar, keeping the back in absolute extension with the head facing forward. Initiate the movement by driving through the heels, raising the hips. The back angle should remain the same until the bar passes the knees. At that point, drive your hips through the bar as you lay back. Return the bar to the platform by reversing the motion.",['barbell'],"Set your back in full extension (neutral spine) with a wide snatch grip before lifting. Drive through the heels and keep the back angle unchanged until the bar passes the knees, then push the hips through. Keep the bar close and head facing forward. Lower by reversing the motion and control the descent to the platform. As a beginner, start light and prioritize form; avoid rounding the back or jerking the weight."
