nutrition_log_id,member_id,log_date,meal_type,food_id,food_name,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g
NL00001360,MEM000386,2024-01-12,Dinner,FOOD0070,sunflower seeds,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00001361,MEM001403,2024-05-17,Lunch,FOOD0051,mango,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00001362,MEM000829,2024-12-14,Dinner,FOOD0027,sweet potato,90.0,77.4,1.4,18.0,0.1,1.8,5.4
NL00001363,MEM002457,2024-06-24,Breakfast,FOOD0026,pasta,240.0,314.4,12.0,60.0,2.6,6.0,18.0
NL00001364,MEM002282,2024-08-24,Lunch,FOOD0068,cashews,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00001365,MEM002274,2024-09-25,Snack,FOOD0044,zucchini,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001366,MEM000416,2024-02-22,Post-Workout,FOOD0020,brown rice,80.0,89.6,2.1,19.2,0.7,1.9,5.8
NL00001367,MEM001875,2024-12-09,Snack,FOOD0013,turkey breast,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00001368,MEM001879,2024-05-05,Post-Workout,FOOD0053,grapes,190.0,114.0,1.0,28.5,0.4,2.8,8.5
NL00001369,MEM001035,2024-04-23,Snack,FOOD0065,coconut oil,190.0,190.0,5.7,28.5,5.7,2.8,8.5
NL00001370,MEM000920,2024-10-31,Breakfast,FOOD0018,cottage cheese,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00001371,MEM001088,2024-10-17,Lunch,FOOD0039,lettuce,210.0,52.5,2.1,10.5,0.4,1.0,3.2
NL00001372,MEM002300,2024-07-01,Breakfast,FOOD0067,flax seeds,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00001373,MEM000139,2024-12-09,Breakfast,FOOD0036,bell pepper,100.0,25.0,1.0,5.0,0.2,0.5,1.5
NL00001374,MEM001754,2024-06-23,Dinner,FOOD0080,protein bar,130.0,130.0,3.9,19.5,3.9,2.0,5.9
NL00001375,MEM000090,2024-02-21,Breakfast,FOOD0063,almond butter,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00001376,MEM001728,2024-07-27,Snack,FOOD0040,asparagus,260.0,260.0,7.8,39.0,7.8,3.9,11.7
NL00001377,MEM002436,2024-11-01,Lunch,FOOD0078,butter,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00001378,MEM001799,2024-05-09,Lunch,FOOD0063,almond butter,300.0,300.0,9.0,45.0,9.0,4.5,13.5
NL00001379,MEM002108,2024-03-19,Snack,FOOD0035,carrots,150.0,37.5,1.5,7.5,0.3,0.8,2.2
NL00001380,MEM000003,2024-07-22,Lunch,FOOD0082,popcorn,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00001381,MEM002134,2024-03-25,Post-Workout,FOOD0013,turkey breast,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00001382,MEM000438,2024-03-08,Snack,FOOD0011,eggs,270.0,418.5,35.1,3.0,29.7,0.3,0.8
NL00001383,MEM000808,2024-02-23,Lunch,FOOD0068,cashews,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001384,MEM001474,2024-10-27,Snack,FOOD0011,eggs,270.0,418.5,35.1,3.0,29.7,0.3,0.8
NL00001385,MEM000954,2024-04-07,Snack,FOOD0027,sweet potato,190.0,163.4,3.0,38.0,0.2,3.8,11.4
NL00001386,MEM000979,2024-11-09,Post-Workout,FOOD0023,oatmeal,140.0,95.2,3.4,16.8,2.0,1.7,5.0
NL00001387,MEM001496,2024-02-28,Dinner,FOOD0002,chicken thigh,100.0,209.0,26.0,0.0,11.0,0.0,0.0
NL00001388,MEM002339,2024-09-15,Snack,FOOD0075,cheddar cheese,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00001389,MEM000271,2024-06-30,Breakfast,FOOD0035,carrots,290.0,72.5,2.9,14.5,0.6,1.4,4.4
NL00001390,MEM000503,2024-04-29,Breakfast,FOOD0060,almonds,160.0,926.4,33.6,35.2,80.0,3.5,10.6
NL00001391,MEM001708,2024-04-29,Post-Workout,FOOD0024,whole wheat bread,220.0,264.0,6.6,55.0,2.2,5.5,16.5
NL00001392,MEM000856,2024-05-03,Snack,FOOD0039,lettuce,260.0,65.0,2.6,13.0,0.5,1.3,3.9
NL00001393,MEM000903,2024-03-09,Post-Workout,FOOD0045,mushrooms,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00001394,MEM002380,2024-06-23,Snack,FOOD0017,protein powder,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00001395,MEM001578,2024-09-10,Breakfast,FOOD0075,cheddar cheese,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00001396,MEM000103,2024-10-09,Breakfast,FOOD0033,spinach,260.0,59.8,7.5,9.4,1.0,1.0,2.9
NL00001397,MEM000529,2024-03-27,Lunch,FOOD0070,sunflower seeds,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00001398,MEM001742,2024-10-13,Snack,FOOD0039,lettuce,60.0,15.0,0.6,3.0,0.1,0.3,0.9
NL00001399,MEM002247,2024-12-08,Dinner,FOOD0075,cheddar cheese,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00001400,MEM000557,2024-01-25,Dinner,FOOD0030,bagel,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00001401,MEM001413,2024-10-26,Dinner,FOOD0053,grapes,100.0,60.0,0.5,15.0,0.2,1.5,4.5
NL00001402,MEM001922,2024-03-27,Snack,FOOD0022,quinoa,60.0,72.0,2.6,12.6,1.1,1.3,3.8
NL00001403,MEM002154,2024-11-03,Breakfast,FOOD0005,pork chop,150.0,375.0,39.0,0.0,25.5,0.0,0.0
NL00001404,MEM001177,2024-05-01,Dinner,FOOD0074,mozzarella,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00001405,MEM001976,2024-10-10,Snack,FOOD0043,brussels sprouts,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00001406,MEM001343,2024-09-28,Lunch,FOOD0031,tortilla,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00001407,MEM000234,2024-02-02,Dinner,FOOD0076,yogurt,130.0,76.7,13.0,4.7,0.5,0.5,1.4
NL00001408,MEM000908,2024-06-07,Snack,FOOD0024,whole wheat bread,110.0,132.0,3.3,27.5,1.1,2.8,8.2
NL00001409,MEM001581,2024-06-18,Post-Workout,FOOD0003,ground beef,130.0,325.0,33.8,0.0,22.1,0.0,0.0
NL00001410,MEM000095,2024-07-08,Snack,FOOD0065,coconut oil,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00001411,MEM002435,2024-10-12,Lunch,FOOD0058,grapefruit,150.0,90.0,0.8,22.5,0.3,2.2,6.8
NL00001412,MEM000329,2024-03-28,Dinner,FOOD0002,chicken thigh,170.0,355.3,44.2,0.0,18.7,0.0,0.0
NL00001413,MEM001737,2024-09-23,Lunch,FOOD0068,cashews,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00001414,MEM001767,2024-02-13,Post-Workout,FOOD0044,zucchini,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00001415,MEM000936,2024-03-09,Snack,FOOD0046,banana,110.0,97.9,1.2,25.3,0.3,2.5,7.6
NL00001416,MEM000038,2024-05-13,Breakfast,FOOD0075,cheddar cheese,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00001417,MEM001082,2024-06-08,Lunch,FOOD0032,broccoli,70.0,23.8,2.0,4.9,0.3,0.5,1.5
NL00001418,MEM001964,2024-11-11,Snack,FOOD0021,jasmine rice,260.0,312.0,7.8,65.0,2.6,6.5,19.5
NL00001419,MEM002331,2024-04-14,Dinner,FOOD0009,shrimp,290.0,348.0,69.6,0.0,5.8,0.0,0.0
NL00001420,MEM001043,2024-04-30,Breakfast,FOOD0070,sunflower seeds,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00001421,MEM001730,2024-08-02,Dinner,FOOD0029,couscous,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00001422,MEM001285,2024-07-20,Lunch,FOOD0016,tempeh,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00001423,MEM001456,2024-02-12,Lunch,FOOD0032,broccoli,280.0,95.2,7.8,19.6,1.1,2.0,5.9
NL00001424,MEM001902,2024-12-12,Breakfast,FOOD0085,maple syrup,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00001425,MEM000855,2024-04-28,Dinner,FOOD0038,cucumber,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00001426,MEM000634,2024-01-05,Snack,FOOD0024,whole wheat bread,220.0,264.0,6.6,55.0,2.2,5.5,16.5
NL00001427,MEM001427,2024-07-31,Snack,FOOD0034,kale,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00001428,MEM001321,2024-08-02,Snack,FOOD0053,grapes,180.0,108.0,0.9,27.0,0.4,2.7,8.1
NL00001429,MEM000092,2024-01-17,Lunch,FOOD0019,white rice,190.0,247.0,5.1,53.2,0.6,5.3,16.0
NL00001430,MEM000245,2024-10-04,Dinner,FOOD0007,tuna,200.0,264.0,56.0,0.0,2.6,0.0,0.0
NL00001431,MEM001945,2024-08-26,Post-Workout,FOOD0046,banana,170.0,151.3,1.9,39.1,0.5,3.9,11.7
NL00001432,MEM000744,2024-04-29,Breakfast,FOOD0067,flax seeds,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00001433,MEM001566,2024-10-26,Snack,FOOD0045,mushrooms,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00001434,MEM001118,2024-12-03,Breakfast,FOOD0018,cottage cheese,270.0,270.0,8.1,40.5,8.1,4.1,12.2
NL00001435,MEM002423,2024-05-14,Snack,FOOD0050,blueberry,250.0,150.0,1.2,37.5,0.5,3.8,11.2
NL00001436,MEM001038,2024-01-06,Snack,FOOD0049,strawberry,230.0,138.0,1.2,34.5,0.5,3.4,10.4
NL00001437,MEM000655,2024-03-11,Dinner,FOOD0033,spinach,200.0,46.0,5.8,7.2,0.8,0.8,2.2
NL00001438,MEM002497,2024-04-28,Lunch,FOOD0039,lettuce,110.0,27.5,1.1,5.5,0.2,0.6,1.6
NL00001439,MEM002447,2024-03-03,Snack,FOOD0041,green beans,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00001440,MEM000946,2024-07-15,Post-Workout,FOOD0049,strawberry,170.0,102.0,0.8,25.5,0.3,2.6,7.6
NL00001441,MEM000682,2024-01-08,Post-Workout,FOOD0057,kiwi,80.0,80.0,2.4,12.0,2.4,1.2,3.6
NL00001442,MEM000471,2024-03-14,Lunch,FOOD0056,pear,260.0,260.0,7.8,39.0,7.8,3.9,11.7
NL00001443,MEM001295,2024-07-13,Dinner,FOOD0060,almonds,200.0,1158.0,42.0,44.0,100.0,4.4,13.2
NL00001444,MEM000244,2024-02-09,Breakfast,FOOD0040,asparagus,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00001445,MEM002115,2024-02-14,Breakfast,FOOD0018,cottage cheese,190.0,190.0,5.7,28.5,5.7,2.8,8.5
NL00001446,MEM001050,2024-07-11,Snack,FOOD0038,cucumber,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00001447,MEM000148,2024-01-15,Dinner,FOOD0005,pork chop,140.0,350.0,36.4,0.0,23.8,0.0,0.0
NL00001448,MEM001238,2024-03-31,Lunch,FOOD0026,pasta,220.0,288.2,11.0,55.0,2.4,5.5,16.5
NL00001449,MEM002247,2024-02-24,Dinner,FOOD0067,flax seeds,300.0,300.0,9.0,45.0,9.0,4.5,13.5
NL00001450,MEM001601,2024-03-04,Snack,FOOD0083,dark chocolate,270.0,270.0,8.1,40.5,8.1,4.1,12.2
NL00001451,MEM000786,2024-07-24,Dinner,FOOD0003,ground beef,250.0,625.0,65.0,0.0,42.5,0.0,0.0
NL00001452,MEM000873,2024-05-21,Post-Workout,FOOD0009,shrimp,80.0,96.0,19.2,0.0,1.6,0.0,0.0
NL00001453,MEM000416,2024-05-06,Lunch,FOOD0038,cucumber,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00001454,MEM000380,2024-01-31,Lunch,FOOD0041,green beans,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00001455,MEM000190,2024-02-24,Post-Workout,FOOD0035,carrots,140.0,35.0,1.4,7.0,0.3,0.7,2.1
NL00001456,MEM001569,2024-04-06,Snack,FOOD0028,potato,280.0,240.8,4.5,56.0,0.3,5.6,16.8
NL00001457,MEM002378,2024-09-30,Lunch,FOOD0010,cod,100.0,120.0,24.0,0.0,2.0,0.0,0.0
NL00001458,MEM000808,2024-10-10,Breakfast,FOOD0048,orange,90.0,54.0,0.4,13.5,0.2,1.4,4.0
NL00001459,MEM000052,2024-12-03,Snack,FOOD0079,granola bar,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00001460,MEM001774,2024-10-04,Snack,FOOD0013,turkey breast,140.0,140.0,4.2,21.0,4.2,2.1,6.3
NL00001461,MEM000841,2024-07-15,Dinner,FOOD0025,white bread,220.0,264.0,6.6,55.0,2.2,5.5,16.5
NL00001462,MEM001286,2024-01-30,Snack,FOOD0085,maple syrup,120.0,120.0,3.6,18.0,3.6,1.8,5.4
NL00001463,MEM000293,2024-03-24,Snack,FOOD0065,coconut oil,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001464,MEM002249,2024-10-12,Breakfast,FOOD0075,cheddar cheese,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001465,MEM001060,2024-10-25,Post-Workout,FOOD0071,greek yogurt,70.0,41.3,7.0,2.5,0.3,0.3,0.8
NL00001466,MEM001381,2024-04-24,Dinner,FOOD0033,spinach,290.0,66.7,8.4,10.4,1.2,1.2,3.2
NL00001467,MEM000944,2024-11-26,Lunch,FOOD0015,tofu,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00001468,MEM000856,2024-03-05,Snack,FOOD0017,protein powder,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00001469,MEM000178,2024-05-04,Post-Workout,FOOD0025,white bread,270.0,324.0,8.1,67.5,2.7,6.8,20.2
NL00001470,MEM000474,2024-07-18,Dinner,FOOD0024,whole wheat bread,100.0,120.0,3.0,25.0,1.0,2.5,7.5
NL00001471,MEM000531,2024-07-24,Post-Workout,FOOD0014,ground turkey,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00001472,MEM000996,2024-09-07,Breakfast,FOOD0058,grapefruit,240.0,144.0,1.2,36.0,0.5,3.6,10.8
NL00001473,MEM002107,2024-01-27,Post-Workout,FOOD0061,walnuts,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00001474,MEM002219,2024-10-15,Dinner,FOOD0036,bell pepper,120.0,30.0,1.2,6.0,0.2,0.6,1.8
NL00001475,MEM000986,2024-03-03,Dinner,FOOD0009,shrimp,170.0,204.0,40.8,0.0,3.4,0.0,0.0
NL00001476,MEM002027,2024-09-14,Breakfast,FOOD0038,cucumber,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00001477,MEM000206,2024-03-29,Dinner,FOOD0011,eggs,190.0,294.5,24.7,2.1,20.9,0.2,0.6
NL00001478,MEM002283,2024-04-05,Post-Workout,FOOD0010,cod,220.0,264.0,52.8,0.0,4.4,0.0,0.0
NL00001479,MEM002325,2024-03-07,Snack,FOOD0055,peach,120.0,120.0,3.6,18.0,3.6,1.8,5.4
NL00001480,MEM001727,2024-10-01,Lunch,FOOD0068,cashews,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00001481,MEM001418,2024-04-29,Dinner,FOOD0016,tempeh,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00001482,MEM000489,2024-03-07,Breakfast,FOOD0070,sunflower seeds,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00001483,MEM001932,2024-09-27,Dinner,FOOD0034,kale,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00001484,MEM000583,2024-08-30,Dinner,FOOD0061,walnuts,140.0,140.0,4.2,21.0,4.2,2.1,6.3
NL00001485,MEM000591,2024-11-08,Breakfast,FOOD0040,asparagus,290.0,290.0,8.7,43.5,8.7,4.4,13.0
NL00001486,MEM001152,2024-11-06,Post-Workout,FOOD0045,mushrooms,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00001487,MEM002418,2024-08-25,Dinner,FOOD0022,quinoa,190.0,228.0,8.4,39.9,3.6,4.0,12.0
NL00001488,MEM000470,2024-05-09,Lunch,FOOD0064,olive oil,270.0,270.0,8.1,40.5,8.1,4.1,12.2
NL00001489,MEM001547,2024-11-21,Dinner,FOOD0047,apple,260.0,135.2,0.8,36.4,0.5,3.6,10.9
NL00001490,MEM001631,2024-10-26,Post-Workout,FOOD0040,asparagus,170.0,170.0,5.1,25.5,5.1,2.6,7.6
NL00001491,MEM000872,2024-08-19,Dinner,FOOD0061,walnuts,190.0,190.0,5.7,28.5,5.7,2.8,8.5
NL00001492,MEM001327,2024-09-06,Dinner,FOOD0068,cashews,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00001493,MEM000845,2024-07-02,Snack,FOOD0045,mushrooms,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00001494,MEM000191,2024-01-23,Post-Workout,FOOD0053,grapes,60.0,36.0,0.3,9.0,0.1,0.9,2.7
NL00001495,MEM000046,2024-05-01,Lunch,FOOD0021,jasmine rice,100.0,120.0,3.0,25.0,1.0,2.5,7.5
NL00001496,MEM002436,2024-02-07,Dinner,FOOD0027,sweet potato,200.0,172.0,3.2,40.0,0.2,4.0,12.0
NL00001497,MEM001648,2024-01-23,Breakfast,FOOD0026,pasta,90.0,117.9,4.5,22.5,1.0,2.2,6.8
NL00001498,MEM002365,2024-06-11,Snack,FOOD0039,lettuce,110.0,27.5,1.1,5.5,0.2,0.6,1.6
NL00001499,MEM001823,2024-07-14,Snack,FOOD0027,sweet potato,80.0,68.8,1.3,16.0,0.1,1.6,4.8
NL00001500,MEM000634,2024-02-01,Snack,FOOD0021,jasmine rice,120.0,144.0,3.6,30.0,1.2,3.0,9.0
NL00001501,MEM001390,2024-10-18,Dinner,FOOD0035,carrots,100.0,25.0,1.0,5.0,0.2,0.5,1.5
NL00001502,MEM001813,2024-05-18,Post-Workout,FOOD0046,banana,280.0,249.2,3.1,64.4,0.8,6.4,19.3
NL00001503,MEM002148,2024-05-03,Snack,FOOD0050,blueberry,270.0,162.0,1.4,40.5,0.5,4.1,12.2
NL00001504,MEM001982,2024-02-29,Snack,FOOD0080,protein bar,220.0,220.0,6.6,33.0,6.6,3.3,9.9
NL00001505,MEM002253,2024-06-27,Lunch,FOOD0071,greek yogurt,190.0,112.1,19.0,6.8,0.8,0.8,2.1
NL00001506,MEM000743,2024-06-08,Dinner,FOOD0028,potato,80.0,68.8,1.3,16.0,0.1,1.6,4.8
NL00001507,MEM000678,2024-01-18,Post-Workout,FOOD0064,olive oil,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00001508,MEM002232,2024-10-26,Lunch,FOOD0006,salmon,160.0,329.6,35.2,0.0,20.8,0.0,0.0
NL00001509,MEM001441,2024-04-07,Post-Workout,FOOD0019,white rice,160.0,208.0,4.3,44.8,0.5,4.5,13.4
NL00001510,MEM002022,2024-05-28,Lunch,FOOD0007,tuna,70.0,92.4,19.6,0.0,0.9,0.0,0.0
NL00001511,MEM000228,2024-08-13,Dinner,FOOD0055,peach,90.0,90.0,2.7,13.5,2.7,1.4,4.0
NL00001512,MEM002174,2024-09-23,Snack,FOOD0038,cucumber,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00001513,MEM001697,2024-02-25,Snack,FOOD0060,almonds,50.0,289.5,10.5,11.0,25.0,1.1,3.3
NL00001514,MEM001240,2024-09-21,Snack,FOOD0010,cod,130.0,156.0,31.2,0.0,2.6,0.0,0.0
NL00001515,MEM000595,2024-06-24,Post-Workout,FOOD0021,jasmine rice,270.0,324.0,8.1,67.5,2.7,6.8,20.2
NL00001516,MEM000929,2024-08-06,Breakfast,FOOD0052,pineapple,120.0,62.4,0.4,16.8,0.2,1.7,5.0
NL00001517,MEM001411,2024-08-08,Breakfast,FOOD0072,milk,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00001518,MEM000125,2024-09-20,Lunch,FOOD0017,protein powder,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00001519,MEM000767,2024-09-20,Breakfast,FOOD0018,cottage cheese,100.0,100.0,3.0,15.0,3.0,1.5,4.5
NL00001520,MEM000371,2024-02-01,Lunch,FOOD0028,potato,170.0,146.2,2.7,34.0,0.2,3.4,10.2
NL00001521,MEM000161,2024-07-17,Breakfast,FOOD0042,cauliflower,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001522,MEM001920,2024-07-10,Dinner,FOOD0010,cod,100.0,120.0,24.0,0.0,2.0,0.0,0.0
NL00001523,MEM000355,2024-03-28,Post-Workout,FOOD0083,dark chocolate,70.0,70.0,2.1,10.5,2.1,1.0,3.2
NL00001524,MEM002128,2024-04-15,Post-Workout,FOOD0062,peanut butter,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00001525,MEM002417,2024-03-21,Snack,FOOD0006,salmon,160.0,329.6,35.2,0.0,20.8,0.0,0.0
NL00001526,MEM000947,2024-01-14,Breakfast,FOOD0068,cashews,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001527,MEM001652,2024-08-30,Dinner,FOOD0078,butter,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00001528,MEM000721,2024-08-04,Snack,FOOD0080,protein bar,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001529,MEM000396,2024-01-12,Snack,FOOD0005,pork chop,80.0,200.0,20.8,0.0,13.6,0.0,0.0
NL00001530,MEM001844,2024-06-27,Dinner,FOOD0029,couscous,160.0,160.0,4.8,24.0,4.8,2.4,7.2
NL00001531,MEM001963,2024-08-27,Breakfast,FOOD0018,cottage cheese,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00001532,MEM000199,2024-02-16,Lunch,FOOD0081,rice cakes,70.0,84.0,2.1,17.5,0.7,1.8,5.2
NL00001533,MEM000769,2024-12-16,Lunch,FOOD0010,cod,100.0,120.0,24.0,0.0,2.0,0.0,0.0
NL00001534,MEM001272,2024-02-14,Lunch,FOOD0070,sunflower seeds,240.0,240.0,7.2,36.0,7.2,3.6,10.8
NL00001535,MEM001814,2024-02-17,Breakfast,FOOD0056,pear,210.0,210.0,6.3,31.5,6.3,3.2,9.5
NL00001536,MEM001773,2024-10-07,Dinner,FOOD0052,pineapple,240.0,124.8,0.7,33.6,0.5,3.4,10.1
NL00001537,MEM001670,2024-03-20,Breakfast,FOOD0052,pineapple,180.0,93.6,0.5,25.2,0.4,2.5,7.6
NL00001538,MEM001076,2024-05-22,Breakfast,FOOD0058,grapefruit,90.0,54.0,0.4,13.5,0.2,1.4,4.0
NL00001539,MEM001605,2024-11-01,Breakfast,FOOD0032,broccoli,130.0,44.2,3.6,9.1,0.5,0.9,2.7
NL00001540,MEM001926,2024-09-29,Dinner,FOOD0047,apple,240.0,124.8,0.7,33.6,0.5,3.4,10.1
NL00001541,MEM000288,2024-09-09,Lunch,FOOD0048,orange,120.0,72.0,0.6,18.0,0.2,1.8,5.4
NL00001542,MEM002167,2024-03-16,Breakfast,FOOD0084,honey,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00001543,MEM002371,2024-08-02,Snack,FOOD0038,cucumber,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00001544,MEM001619,2024-02-20,Breakfast,FOOD0014,ground turkey,110.0,110.0,3.3,16.5,3.3,1.6,5.0
NL00001545,MEM000975,2024-06-08,Post-Workout,FOOD0013,turkey breast,170.0,170.0,5.1,25.5,5.1,2.6,7.6
NL00001546,MEM000661,2024-07-01,Dinner,FOOD0001,chicken breast,150.0,247.5,46.5,0.0,5.4,0.0,0.0
NL00001547,MEM001937,2024-10-15,Lunch,FOOD0076,yogurt,250.0,147.5,25.0,9.0,1.0,1.0,2.8
NL00001548,MEM002043,2024-08-04,Post-Workout,FOOD0073,cheese,260.0,260.0,7.8,39.0,7.8,3.9,11.7
NL00001549,MEM001047,2024-12-12,Lunch,FOOD0039,lettuce,210.0,52.5,2.1,10.5,0.4,1.0,3.2
NL00001550,MEM002110,2024-04-04,Post-Workout,FOOD0046,banana,110.0,97.9,1.2,25.3,0.3,2.5,7.6
NL00001551,MEM002051,2024-07-26,Lunch,FOOD0083,dark chocolate,130.0,130.0,3.9,19.5,3.9,2.0,5.9
NL00001552,MEM001341,2024-08-10,Post-Workout,FOOD0048,orange,200.0,120.0,1.0,30.0,0.4,3.0,9.0
NL00001553,MEM001058,2024-11-06,Breakfast,FOOD0031,tortilla,200.0,200.0,6.0,30.0,6.0,3.0,9.0
NL00001554,MEM002479,2024-01-04,Breakfast,FOOD0063,almond butter,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00001555,MEM000161,2024-11-06,Post-Workout,FOOD0062,peanut butter,230.0,230.0,6.9,34.5,6.9,3.4,10.4
NL00001556,MEM001930,2024-09-29,Breakfast,FOOD0062,peanut butter,300.0,300.0,9.0,45.0,9.0,4.5,13.5
NL00001557,MEM001069,2024-07-03,Breakfast,FOOD0041,green beans,280.0,280.0,8.4,42.0,8.4,4.2,12.6
NL00001558,MEM001609,2024-03-15,Lunch,FOOD0049,strawberry,210.0,126.0,1.0,31.5,0.4,3.2,9.5
NL00001559,MEM001333,2024-02-28,Lunch,FOOD0071,greek yogurt,120.0,70.8,12.0,4.3,0.5,0.5,1.3
NL00001560,MEM000302,2024-11-30,Breakfast,FOOD0030,bagel,180.0,180.0,5.4,27.0,5.4,2.7,8.1
NL00001561,MEM000478,2024-01-29,Breakfast,FOOD0045,mushrooms,120.0,120.0,3.6,18.0,3.6,1.8,5.4
NL00001562,MEM000558,2024-09-11,Breakfast,FOOD0073,cheese,190.0,190.0,5.7,28.5,5.7,2.8,8.5
NL00001563,MEM001833,2024-01-09,Snack,FOOD0074,mozzarella,150.0,150.0,4.5,22.5,4.5,2.2,6.8
NL00001564,MEM001371,2024-02-09,Breakfast,FOOD0010,cod,180.0,216.0,43.2,0.0,3.6,0.0,0.0
NL00001565,MEM001907,2024-08-13,Post-Workout,FOOD0021,jasmine rice,50.0,60.0,1.5,12.5,0.5,1.2,3.8
NL00001566,MEM000203,2024-11-16,Breakfast,FOOD0054,watermelon,140.0,84.0,0.7,21.0,0.3,2.1,6.3
NL00001567,MEM002450,2024-01-17,Snack,FOOD0065,coconut oil,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001568,MEM000928,2024-02-19,Post-Workout,FOOD0013,turkey breast,140.0,140.0,4.2,21.0,4.2,2.1,6.3
NL00001569,MEM000920,2024-11-26,Breakfast,FOOD0049,strawberry,130.0,78.0,0.6,19.5,0.3,2.0,5.9
NL00001570,MEM001773,2024-09-30,Breakfast,FOOD0010,cod,90.0,108.0,21.6,0.0,1.8,0.0,0.0
NL00001571,MEM000084,2024-08-24,Snack,FOOD0066,chia seeds,170.0,170.0,5.1,25.5,5.1,2.6,7.6
NL00001572,MEM001493,2024-10-23,Snack,FOOD0051,mango,250.0,250.0,7.5,37.5,7.5,3.8,11.2
NL00001573,MEM001077,2024-09-30,Breakfast,FOOD0074,mozzarella,50.0,50.0,1.5,7.5,1.5,0.8,2.2
NL00001574,MEM000304,2024-02-14,Post-Workout,FOOD0034,kale,60.0,60.0,1.8,9.0,1.8,0.9,2.7
NL00001575,MEM002050,2024-11-04,Dinner,FOOD0025,white bread,210.0,252.0,6.3,52.5,2.1,5.2,15.8
